timestamp,responseTime,criteria
2019-04-01 13:30:57.247746,0.007238,CPU Usage
2019-04-01 13:30:57.262114,0.009673,CPU Usage
2019-04-01 13:30:57.279774,0.013749,CPU Usage
2019-04-01 13:30:57.305774,0.016572,CPU Usage
2019-04-01 13:30:57.327548,0.016931,CPU Usage
2019-04-01 13:30:57.347479,0.016733,CPU Usage
2019-04-01 13:30:57.362046,0.007991,CPU Usage
2019-04-01 13:30:57.380539,0.013718,CPU Usage
2019-04-01 13:30:57.396652,0.008917,CPU Usage
2019-04-01 13:30:57.409287,0.008512,CPU Usage
2019-04-01 13:30:57.428315,0.015061,CPU Usage
2019-04-01 13:30:57.458365,0.025464,CPU Usage
2019-04-01 13:30:57.478427,0.014891,CPU Usage
2019-04-01 13:30:57.505171,0.020629,CPU Usage
2019-04-01 13:30:57.523591,0.014337,CPU Usage
2019-04-01 13:30:57.543781,0.014347,CPU Usage
2019-04-01 13:30:57.564228,0.015841,CPU Usage
2019-04-01 13:30:57.584493,0.011285,CPU Usage
2019-04-01 13:30:57.605049,0.010133,CPU Usage
2019-04-01 13:30:57.631530,0.021005,CPU Usage
2019-04-01 13:30:57.646744,0.007472,CPU Usage
2019-04-01 13:30:57.661034,0.009035,CPU Usage
2019-04-01 13:30:57.685335,0.018281,CPU Usage
2019-04-01 13:30:57.708403,0.017016,CPU Usage
2019-04-01 13:30:57.728086,0.015004,CPU Usage
2019-04-01 13:30:57.745559,0.014149,CPU Usage
2019-04-01 13:30:57.776118,0.020812,CPU Usage
2019-04-01 13:30:57.809960,0.029114,CPU Usage
2019-04-01 13:30:57.822659,0.008611,CPU Usage
2019-04-01 13:30:57.845622,0.018828,CPU Usage
2019-04-01 13:30:57.881214,0.030463,CPU Usage
2019-04-01 13:30:57.894034,0.00892,CPU Usage
2019-04-01 13:30:57.906580,0.009091,CPU Usage
2019-04-01 13:30:57.926550,0.015948,CPU Usage
2019-04-01 13:30:57.944479,0.013902,CPU Usage
2019-04-01 13:30:57.972678,0.023856,CPU Usage
2019-04-01 13:30:57.995940,0.018851,CPU Usage
2019-04-01 13:30:58.023590,0.020369,CPU Usage
2019-04-01 13:30:58.048771,0.020971,CPU Usage
2019-04-01 13:30:58.063633,0.006709,CPU Usage
2019-04-01 13:30:58.076087,0.007853,CPU Usage
2019-04-01 13:30:58.094654,0.014631,CPU Usage
